Site,Irrigation,Nitrogen,Yield
A,Yes,0,19
A,Yes,50,27
A,Yes,100,35
A,Yes,150,36
A,Yes,200,35
A,Yes,250,39
A,No,0,22
A,No,50,27
A,No,100,27
A,No,150,28
A,No,200,30
A,No,250,33
B,Yes,0,20.5
B,Yes,50,30
B,Yes,100,31
B,Yes,150,32
B,Yes,200,35
B,Yes,250,34
B,No,0,21
B,No,50,30
B,No,100,31
B,No,150,33
B,No,200,35
B,No,250,34
C,Yes,0,45
C,Yes,50,47
C,Yes,100,48
C,Yes,150,48
C,Yes,200,48
C,Yes,250,49
C,No,0,46
C,No,50,45
C,No,100,46.5
C,No,150,48
C,No,200,47.5
C,No,250,49
D,Yes,0,22
D,Yes,50,28
D,Yes,100,33
D,Yes,150,35
D,Yes,200,37
D,Yes,250,35
D,No,0,30
D,No,50,33
D,No,100,36
D,No,150,36
D,No,200,42
D,No,250,40
